id,code,name
460,ART 472 01,Independent Projects
461,ART 495 01,Senior Project I
462,ART 496 01,Senior Project II
463,ART 511 01,Pit Crit
464,ART 513 01,Thesis 2022
465,ART 515 01,Color Space
466,ART 533 01,Space and Abstraction
467,ART 545 01,Individual Criticism: Painting
468,ART 550 01,Projections of Print
470,ART 619 01,Goblinization: “A Horizon of Vomit and Blood”
471,ART 631 01,Studio Seminar: Sculpture
472,ART 645 01,Individual Criticism: Sculpture
473,ART 678 01,Doing
474,ART 686 01,Publics
475,ART 688 01,"The Weight of a Line: Walking and the Exploration of Space, Time, and Presence"
476,ART 711 01,Preliminary Studio: Graphic Design
477,ART 721 01,First-Year Graduate Studio: Graphic Design
478,ART 731 01,Second-Year Graduate Studio: Graphic Design
479,ART 739 01,Degree Presentation in Graphic Design
480,ART 742 01,On Gathering: Digital Collections and Virtual Events
481,ART 743 01,Letterform Design
482,ART 745 01,T for Typographies
483,ART 751 01,Print to Screen
484,ART 759 01,Night
485,ART 762 01,Exhibition Design
486,ART 782 01,Seminar on Design Strategy
486,MGT 675 01,Seminar on Design Strategy
487,ART 783 01,Private Conversations/Public Announcements 1970/2022
488,ART 784 01,Interdisciplinary Typography Workshop
489,ART 802 01,Between Frames
490,ART 825 01,What Makes a Book Work?
491,ART 829 01,Issues in Contemporary Photography
492,ART 845 01,Individual Criticism: Photography
493,ART 853 01,Spectral Spaces
494,ART S110 01,Sculpture Basics
495,ASL 120 01,American Sign Language II
496,ASL 120 02,American Sign Language II
497,ASL 120 03,American Sign Language II
498,ASL 120 04,American Sign Language II
499,ASL 120 05,American Sign Language II
500,ASL 120 06,American Sign Language II
501,ASL 120 07,American Sign Language II
502,ASL 140 01,American Sign Language IV
503,ASL 140 02,American Sign Language IV
504,ASTR 030 01,Search for Extraterrestrial Life
505,ASTR 105 01,The Earth in its Cosmic Context
