number,rating,subject,term,workload,year
366,4.571,ANTH,Spring,4.286,2016.0
366,4.3,ANTH,Spring,3.9,2014.0
366,4.75,ANTH,Spring,3.5,2016.0
366,4.4,ANTH,Fall,3.2,2014.0
366,3.471,ANTH,Spring,3.294,2013.0
367,4.417,ANTH,Fall,3.231,2019.0
379,4.857,ANTH,Spring,3.429,2018.0
386,4.7059999999999995,ANTH,Fall,2.944,2019.0
386,3.688,ANTH,Fall,2.75,2018.0
386,4.063,ANTH,Fall,2.813,2017.0
386,4.105,ANTH,Spring,3.0,2017.0
386,4.5,ANTH,Spring,3.063,2016.0
386,4.8,ANTH,Spring,3.6,2015.0
388,5.0,ANTH,Fall,3.0,2019.0
388,4.5,ANTH,Spring,3.625,2016.0
406,4.25,ANTH,Fall,3.375,2019.0
406,3.875,ANTH,Fall,3.0,2018.0
406,3.364,ANTH,Fall,3.5,2017.0
406,4.1,ANTH,Fall,3.333,2016.0
406,4.2,ANTH,Fall,3.3,2015.0
406,4.167,ANTH,Fall,3.222,2013.0
406,4.0,ANTH,Fall,3.0,2012.0
406,3.778,ANTH,Fall,3.667,2011.0
406,4.0,ANTH,Fall,2.632,2009.0
409,3.545,ANTH,Fall,3.455,2019.0
409,4.75,ANTH,Fall,3.0,2016.0
413,5.0,ANTH,Fall,3.0,2018.0
413,4.0,ANTH,Fall,3.333,2015.0
417,4.0,ANTH,Fall,3.0,2019.0
448,4.8,ANTH,Fall,3.9,2019.0
450,4.5,ANTH,Fall,3.0,2019.0
450,4.0,ANTH,Fall,3.0,2017.0
471,4.0,ANTH,Fall,3.0,2019.0
471,3.0,ANTH,Fall,2.5,2017.0
471,4.333,ANTH,Fall,3.5,2015.0
471,4.5,ANTH,Fall,3.0,2014.0
471,4.333,ANTH,Fall,3.667,2012.0
471,4.0,ANTH,Fall,3.5,2011.0
471,4.429,ANTH,Fall,4.0,2010.0
472,4.5,ANTH,Spring,3.0,2011.0
491,4.5,ANTH,Spring,4.667,2019.0
491,3.143,ANTH,Spring,4.5,2018.0
491,4.5,ANTH,Spring,4.6,2017.0
491,4.4,ANTH,Spring,4.0,2016.0
491,3.875,ANTH,Spring,4.375,2015.0
491,3.667,ANTH,Spring,3.0,2014.0
491,4.25,ANTH,Spring,4.636,2013.0
491,3.778,ANTH,Spring,4.0,2012.0
491,3.8,ANTH,Spring,4.571,2011.0
491,4.0,ANTH,Fall,4.0,2010.0
491,4.167,ANTH,Spring,4.167,2010.0
500,5.0,ANTH,Fall,3.0,2019.0
500,4.0,ANTH,Fall,3.25,2018.0
500,5.0,ANTH,Fall,3.5,2017.0
500,4.2,ANTH,Spring,3.2,2017.0
500,4.0,ANTH,Fall,3.75,2016.0
050,2.667,APHY,Fall,1.889,2019.0
050,2.714,APHY,Fall,1.857,2018.0
050,3.167,APHY,Fall,2.0,2017.0
050,4.0,APHY,Fall,2.0,2016.0
050,3.5,APHY,Spring,2.0,2015.0
050,3.0,APHY,Spring,2.154,2013.0
050,2.9,APHY,Spring,2.182,2013.0
050,3.455,APHY,Fall,2.091,2011.0
050,3.357,APHY,Fall,2.143,2010.0
050,3.857,APHY,Spring,1.714,2010.0
151,3.395,APHY,Fall,3.465,2019.0
151,3.765,APHY,Fall,3.667,2018.0
151,2.886,APHY,Fall,3.864,2017.0
151,4.0,APHY,Spring,3.51,2019.0
151,3.485,APHY,Spring,3.939,2018.0
151,4.22,APHY,Spring,3.675,2017.0
151,2.769,APHY,Fall,3.462,2016.0
151,3.776,APHY,Spring,3.571,2016.0
151,1.8940000000000001,APHY,Fall,4.042,2015.0
151,3.737,APHY,Spring,3.5380000000000003,2015.0
151,3.355,APHY,Fall,3.774,2014.0
151,3.308,APHY,Spring,4.615,2014.0
151,3.284,APHY,Fall,3.182,2013.0
151,3.0,APHY,Spring,4.274,2013.0
151,3.536,APHY,Fall,3.205,2012.0
194,3.387,APHY,Fall,3.323,2019.0
194,1.6800000000000002,APHY,Spring,3.306,2019.0
194,3.825,APHY,Fall,3.651,2018.0
194,2.963,APHY,Spring,3.741,2018.0
194,3.1,APHY,Fall,3.805,2017.0
194,3.379,APHY,Spring,3.31,2017.0
194,2.73,APHY,Fall,3.429,2016.0
194,2.123,APHY,Spring,4.431,2016.0
194,3.227,APHY,Fall,3.955,2015.0
194,2.932,APHY,Spring,4.733,2015.0
194,3.212,APHY,Fall,3.727,2014.0
194,3.895,APHY,Spring,4.4,2014.0
194,3.308,APHY,Fall,4.37,2013.0
194,3.434,APHY,Spring,4.45,2013.0
194,2.792,APHY,Fall,4.625,2012.0
293,4.8,APHY,Fall,2.8,2019.0
420,4.0,APHY,Fall,4.481,2019.0
