subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
PSYC,920,12,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,2,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PSYC,923,3,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PSYC,923,4,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,5,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,6,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,7,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,8,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,9,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,10,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,11,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,12,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,13,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PSYC,923,14,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,15,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,16,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,17,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,923,18,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,925,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,1,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PSYC,930,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,3,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,4,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,5,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,6,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,930,7,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PSYC,930,8,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
QUAL,999,1,1 HTBA,,,[],,,,False,False,False,False,False,False
REL,3603,1,MWF 8.30-9.20,SDQ BUSH-S100,,[],,,,False,False,False,False,False,False
REL,3605,1,MWF 8.30-9.20,SDQ SG54,,[],6.0,,,False,False,False,False,False,False
REL,3699,0,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
REL,3792,1,M 16.00-17.20,,,[],22.0,,,False,False,False,False,False,False
REL,3793,1,M 16.00-17.20,SDQ LATOURETTE,,[],22.0,,,False,False,False,False,False,False
REL,3795,1,T 15.30-17.00,SDQ WOOD,,[],5.0,,,False,False,False,False,False,False
REL,3797,1,Th 17.30-18.20,SDQ LATOURETTE,,[],,,,False,False,False,False,False,False
REL,3799,0,1 HTBA,,,[],,,,False,False,False,False,False,False
REL,3899,0,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
REL,3900,1,1 HTBA,,,[],19.0,,,False,False,False,False,False,False
REL,3900,2,1 HTBA,,,[],19.0,,,False,False,False,False,False,False
REL,3900,3,1 HTBA,,,[],19.0,,,False,False,False,False,False,False
REL,3901,1,Th 18.30-20.30,SDQ BUSH-S100,,[],,,,False,False,False,False,False,False
REL,3910,1,W 15.30-17.20,SDQ GREAT,,[],34.0,,,False,False,False,False,False,False
REL,3986,1,Th 16.00-17.20,SDQ BROHOLM,,[],46.0,,,False,False,False,False,False,False
REL,3988,1,Th 16.00-17.20,,,[],1.0,,,False,False,False,False,False,False
REL,3999,0,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
REL,502,1,T 13.30-15.20,SDQ JE-DINING,,[],,,,False,False,False,False,False,False
REL,503,1,MWF 10.30-11.20,SDQ NIEBUHR,,[],,,,False,False,False,False,False,False
REL,505,1,MWF 10.30-11.20,SDQ GREAT,,[],,,,False,False,False,False,False,False
REL,509,1,T 9.30-11.20,SDQ WOOD,,[],,,,False,False,False,False,False,False
REL,518,1,TTh 8.30-9.50,SDQ BUSH-S104,,[],8.0,,,False,False,False,False,False,False
REL,536,1,M 13.30-15.20,SDQ BUSH-S200,,[],13.0,,,False,False,False,False,False,False
REL,556,1,T 13.30-15.20,SDQ LIBR-104,,[],5.0,,,False,False,False,False,False,False
REL,565,1,W 8.30-10.20,SDQ BUSH-S104,,[],24.0,,,False,False,False,False,False,False
REL,566,1,M 13.30-15.20,SDQ BUSH-S100,,[],10.0,,,False,False,False,False,False,False
REL,570,1,W 13.30-15.20,SDQ BUSH-S101,,[],6.0,,,False,False,False,False,False,False
REL,574,1,TTh 9.00-10.20,SDQ LIBR-104,,[],6.0,,,False,False,False,False,False,False
REL,600,1,TTh 10.30-11.20 + 1,SDQ NIEBUHR,,[],45.0,,,False,False,False,False,False,False
REL,602,1,W 13.30-15.20,SDQ BUSH-S104,,[],23.0,,,False,False,False,False,False,False
REL,610,1,F 13.30-15.20,SDQ S212,,[],8.0,,,False,False,False,False,False,False
REL,612,1,W 9.30-11.20,SDQ SG54,,[],14.0,,,False,False,False,False,False,False
REL,616,1,F 13.30-15.20,SDQ BUSH-S100,,[],20.0,,,False,False,False,False,False,False
REL,617,1,T 18.00-20.00,SDQ LATOURETTE,,[],10.0,,,False,False,False,False,False,False
REL,618,1,Th 13.30-15.20,SDQ NIEBUHR,,[],22.0,,,False,False,False,False,False,False
REL,619,1,T 15.30-17.20,SDQ BUSH-S100,,[],22.0,,,False,False,False,False,False,False
REL,624,1,T 9.30-11.20,SDQ BUSH-S100,,[],9.0,,,False,False,False,False,False,False
